phase  Num_spec  mean_vel  mean_vel_err  
     -10           5     -10836.1      4820.11
      -8           8     -12651.8      3934.13
      -6          10     -12663.8      4549.85
      -4          10     -13073.5      4817.72
      -2          10     -12177.3      4701.79
       0           8     -10695.2      3926.06
       2           9     -9749.52      2804.61
       4           9     -8895.13      2185.47
       6           7     -8871.60      2041.89
       8           5     -7704.87      1136.60
      10           8     -7381.52      2346.41
      12           6     -7553.22      2686.32
      14           7     -7580.47      2617.89
      16           7     -7840.18      1582.77
      18           6     -7481.70      1442.54
      20           8     -7731.48      1287.30
      22           7     -7414.99      1297.43
      24           7     -7177.10      1143.61
      26           5     -7081.95      856.564
      28           5     -7345.08      776.678
      30           6     -7218.78      1077.76
      32           5     -7120.39      1233.15
      34           4     -7130.08      1377.33
      36           3     -7722.15      1476.74
      38           4     -7317.66      2037.59
      40           5     -6730.65      1675.33
      42           3     -6468.55      260.110
      44           3     -6595.21      36.4701
      46           5     -6075.53      808.108
      48           6     -5900.74      799.044
      50           5     -5713.63      732.543
      52           3     -5777.41      685.828
      54           4     -6233.38      815.993
      56           4     -6498.58      1063.88
      58           3     -6793.47      1084.43
      60           3     -6355.27      881.674
      62           2     -5874.31      881.674 use values of phase 60
      64           2     -6049.97      1273.29 use values of phase 66
      66           3     -6344.12      1273.29
      68           3     -6020.56      862.248
      70           4     -6321.44      926.151
      72           3     -6117.77      1018.70
