phase  Num_spec  mean_vel  mean_vel_err  
     -10           4     -9103.41      3392.28
      -8           7     -9439.08      1699.66
      -6          10     -9901.80      2479.31
      -4          10     -9541.36      2703.10
      -2          10     -9856.06      2694.86
       0           8     -9237.14      2361.98
       2           8     -7400.75      2906.46
       4           8     -6789.34      3357.44
       6           6     -6407.29      3671.46
       8           5     -3523.39      1164.32
      10           7     -4217.18      1737.28
      12           5     -4791.53      1720.88
      14           6     -5225.23      1807.89
      16           5     -5082.32      1959.53
      18           4     -5286.87      2099.86
      20           6     -3802.65      2648.18
      22           5     -3855.08      2788.45
      24           4     -4322.54      2446.76
