spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn1997ef-19971126-z-bl.flm           -14.2         -5309.5           274.2           266.7
sn1997ef-19971128-z-bl.flm           -12.2         -4796.7           363.9           319.4
sn1997ef-19971129-z-bl.flm           -11.2         -3782.8           212.5           197.9
sn1997ef-19971130-z-bl.flm           -10.2         -4367.3           220.7           245.4
sn1997ef-19971201-z-bl.flm            -9.2         -3597.9           281.1           277.4
sn1997ef-19971204-z-bl.flm            -6.2         -3284.0          1641.2           754.2
sn1997ef-19971205-mmt-z-bl.flm            -5.2         -1082.0           157.7           201.5
sn1997ef-19971205-z-bl.flm            -5.2         -2861.2           510.7           591.2
sn1997ef-19971206-z-bl.flm            -4.2          -599.2           405.1           602.0
sn1997ef-19971223-z-bl.flm            12.8         -4566.2           234.1           492.8
sn1997ef-19971224-z-bl.flm            13.8         -4836.9           760.8           295.0
sn1997ef-19971226-z-bl.flm            15.8         -4820.1           317.3           292.7
sn1997ef-19971227-z-bl.flm            16.9         -4775.4           500.5           386.4
sn1997ef-19971229-z-bl.flm            18.9         -5038.8           345.4           291.3
sn1997ef-19971230-z-bl.flm            19.9         -4166.7           729.8           606.0
sn1997ef-19980101-z-bl.flm            21.9         -5016.7           174.9           158.3
sn1997ef-19980103_fast_Ic-z-bl.flm            23.9         -5431.2           364.6           335.0
sn1997ef-19980106-z-bl.flm            26.9         -4304.3           600.2           644.1
sn1997ef-19980120_fast_Ic-z-bl.flm            40.9         -5456.6          1446.2          2607.5
sn1997ef-19980124_fast_Ic-z-bl.flm            44.9         -3506.8           300.9           321.7
sn1997ef-19980126-mmt-z-bl.flm            46.9         -2738.0           239.2           425.8
sn1997ef-19980128-mmt-z-bl.flm            48.9         -3579.7           248.9           223.4
