spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn1997ef-19971126-z-bl.flm           -14.2        -20912.4           323.8           211.3          4831.0          4824.7
sn1997ef-19971128-z-bl.flm           -12.2        -18834.2           208.8           224.2          4824.6          4825.3
sn1997ef-19971129-z-bl.flm           -11.2        -20223.8           157.0           114.3          4822.7          4821.5
sn1997ef-19971130-z-bl.flm           -10.2        -18299.9           180.2           138.3          4823.5          4822.1
sn1997ef-19971201-z-bl.flm            -9.2        -19444.7           150.7           161.9          4822.5          4822.8
sn1997ef-19971204-z-bl.flm            -6.2        -14809.0           201.0           206.0          4554.3          4554.5
sn1997ef-19971205-mmt-z-bl.flm            -5.2        -16091.0            83.3           171.5          4550.6          4553.1
sn1997ef-19971205-z-bl.flm            -5.2        -15312.4           136.8           166.7          4551.9          4552.9
sn1997ef-19971206-z-bl.flm            -4.2        -15160.4           195.9           201.6          4821.7          4821.9
sn1997ef-19971223-z-bl.flm            12.8        -11092.3           217.8          1119.2          2695.1          2910.1
sn1997ef-19971224-z-bl.flm            13.8        -11730.9           325.5           131.1          2638.1          2621.2
sn1997ef-19971226-z-bl.flm            15.8         -9541.5           269.1           234.7          1605.5          1600.1
sn1997ef-19971227-z-bl.flm            16.9         -9165.2           405.8           415.9          1634.0          1636.5
sn1997ef-19971229-z-bl.flm            18.9         -8909.7           271.5           405.4          1467.9          1498.4
sn1997ef-19971230-z-bl.flm            19.9         -7871.4           369.0           531.9          1339.1          1392.9
sn1997ef-19980101-z-bl.flm            21.9         -7991.7           133.6           139.1          1304.3          1304.9
sn1997ef-19980103_fast_Ic-z-bl.flm            23.9         -7071.7            61.8           145.6          1145.3          1152.8
sn1997ef-19980106-z-bl.flm            26.9         -7450.9           342.6          2402.9           922.6          2551.0
sn1997ef-19980120_fast_Ic-z-bl.flm            40.9         -3115.4           915.0           832.0          1908.9          1870.5
sn1997ef-19980124_fast_Ic-z-bl.flm            44.9         -6040.0           225.0           227.5           227.9           230.4
sn1997ef-19980126-mmt-z-bl.flm            46.9         -5698.2           238.6           464.1           842.6           931.9
sn1997ef-19980128-mmt-z-bl.flm            48.9         -6201.5           227.4           176.7           830.8           818.4
