spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn1997ef-19971126-z-bl.flm           -14.2        -15456.8          4015.3           699.3
sn1997ef-19971128-z-bl.flm           -12.2        -13618.1          4623.1          4442.2
sn1997ef-19971129-z-bl.flm           -11.2        -10453.0          2480.2          4146.4
sn1997ef-19971130-z-bl.flm           -10.2        -12509.9          8416.3           800.4
sn1997ef-19971201-z-bl.flm            -9.2        -13466.9          6148.4           421.6
sn1997ef-19971204-z-bl.flm            -6.2        -12545.1          4994.9          1428.8
sn1997ef-19971205-mmt-z-bl.flm            -5.2         -7838.3          1845.2          5520.9
sn1997ef-19971205-z-bl.flm            -5.2        -11612.3          7611.8           341.1
sn1997ef-19971206-z-bl.flm            -4.2         -7538.9          1260.4          1605.5
sn1997ef-19971223-z-bl.flm            12.8         -6047.3           429.3          9799.6
sn1997ef-19971224-z-bl.flm            13.8         -3845.8          2984.6           361.6
sn1997ef-19971226-z-bl.flm            15.8         -3157.1           493.7           336.7
sn1997ef-19971227-z-bl.flm            16.9         -3488.7           266.7           312.3
sn1997ef-19971229-z-bl.flm            18.9         -2465.6           243.8           215.4
sn1997ef-19971230-z-bl.flm            19.9         -2368.1           893.4           929.6
sn1997ef-19980101-z-bl.flm            21.9         -3398.4           170.2           185.8
sn1997ef-19980103_fast_Ic-z-bl.flm            23.9         -1902.2          1560.8           313.3
