spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn1997ef-19971126-z-bl.flm           -14.2        -14280.9           275.2           822.9          3403.4          3490.7
sn1997ef-19971128-z-bl.flm           -12.2        -13505.0           946.2          2992.0          3521.8          4523.3
sn1997ef-19971129-z-bl.flm           -11.2        -15354.9          3011.0          1470.2          4535.8          3697.2
sn1997ef-19971130-z-bl.flm           -10.2        -12351.3           320.0          1823.0          3407.3          3851.1
sn1997ef-19971201-z-bl.flm            -9.2        -11580.2           170.0          1939.6          3396.5          3907.6
sn1997ef-19971204-z-bl.flm            -6.2        -13216.3          1850.3          5717.6          3093.7          6232.0
sn1997ef-19971205-mmt-z-bl.flm            -5.2        -11355.1          1268.1          6600.6          2784.8          7050.9
sn1997ef-19971205-z-bl.flm            -5.2        -11508.5           139.3          3448.0          2483.2          4246.8
sn1997ef-19971206-z-bl.flm            -4.2        -12105.1          3369.5          2683.7          4319.7          3809.0
sn1997ef-19971223-z-bl.flm            12.8         -5229.3           105.8          1794.0          1724.1          2486.0
sn1997ef-19971224-z-bl.flm            13.8         -5085.9           138.2          7319.0          1813.2          7539.0
sn1997ef-19971226-z-bl.flm            15.8         -4230.7           142.9           259.2          1964.7          1976.6
sn1997ef-19971227-z-bl.flm            16.9         -4337.2           169.2           208.9          1966.8          1970.6
sn1997ef-19971229-z-bl.flm            18.9         -4698.4           150.5           214.7          2105.2          2110.8
sn1997ef-19971230-z-bl.flm            19.9         -3576.0           254.3          2388.5          2660.4          3566.2
sn1997ef-19980101-z-bl.flm            21.9         -2992.6            86.6           114.5          2789.8          2790.8
sn1997ef-19980103_fast_Ic-z-bl.flm            23.9         -2721.5            22.4          3099.3          2446.9          3948.7
