spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn1998bw-19980503-z.flm            -9.2         -6619.2          2262.7           895.3
sn1998bw-19980504-z-bl.flm            -8.2         -5133.9          3390.6           121.2
sn1998bw-19980507-z-bl.flm            -5.2         -2577.4           562.5           348.7
sn1998bw-19980508-z-bl.flm            -4.2         -3888.4           118.6           822.2
sn1998bw-19980509-z.flm            -3.2         -1421.9           239.7           763.3
sn1998bw-19980511-z.flm            -1.2          -682.0           620.8          1233.1
sn1998bw-19980513-z.flm             0.8         -3355.7           166.8           573.1
sn1998bw-19980514-z.flm             1.8         -5077.7           371.7           149.9
sn1998bw-19980516-z.flm             3.8         -4406.9           159.1           390.4
sn1998bw-19980519-z.flm             6.8         -5164.5           245.8           322.6
sn1998bw-19980521-z.flm             8.8         -5935.2           107.4            85.9
sn1998bw-19980522-z-bl.flm             9.8         -6340.3           616.5           140.9
sn1998bw-19980523-z-bl.flm            10.8         -6220.5           326.0           285.4
sn1998bw-19980529-z-bl.flm            16.8         -6152.3            80.3           104.6
sn1998bw-19980601-z.flm            19.8         -4062.6           967.1           900.0
sn1998bw-19980608-z.flm            26.8         -2296.2           805.8           752.6
sn1998bw-19980624-z-bl.flm            42.8         -3135.4            67.1            94.7
sn1998bw-19980701-z-bl.flm            49.8         -4043.9            71.8           185.1
sn1998bw-19980713-z-bl.flm            61.8         -4418.8           296.8           154.3
sn1998bw-19980722-z-bl.flm            70.8         -3147.1            73.9            64.5
