spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn1998bw-19980503-z.flm            -9.2        -23288.8          2522.1          4267.1          5440.1          6437.5
sn1998bw-19980504-z-bl.flm            -8.2        -24266.2          1003.2           159.6          4060.0          3937.4
sn1998bw-19980507-z-bl.flm            -5.2        -17676.5           121.9           199.4          4551.5          4554.2
sn1998bw-19980508-z-bl.flm            -4.2        -19043.6           810.9           145.5          4885.5          4819.9
sn1998bw-19980509-z.flm            -3.2        -18359.3            73.2           101.2          4818.3          4818.8
sn1998bw-19980511-z.flm            -1.2        -17642.3           170.0           978.9          4704.9          4802.6
sn1998bw-19980513-z.flm             0.8        -16178.6           234.7          1413.2          3933.1          4172.7
sn1998bw-19980514-z.flm             1.8        -18201.9           345.0           126.3          2825.7          2807.5
sn1998bw-19980516-z.flm             3.8        -17875.6           107.7           374.3          2188.1          2217.3
sn1998bw-19980519-z.flm             6.8        -17692.1           213.2           328.3          2053.0          2068.1
sn1998bw-19980521-z.flm             8.8        -20721.8           155.4           118.2          1147.2          1142.7
sn1998bw-19980522-z-bl.flm             9.8        -20210.8           203.1           182.9          2355.2          2353.5
sn1998bw-19980523-z-bl.flm            10.8        -20396.0           464.6           338.2          2392.0          2370.7
sn1998bw-19980529-z-bl.flm            16.8        -18123.2           101.2           164.5          1586.0          1591.3
sn1998bw-19980601-z.flm            19.8        -14301.8           581.3          1113.5          1412.5          1702.1
sn1998bw-19980608-z.flm            26.8        -13039.7           214.6           253.1           883.0           893.2
sn1998bw-19980624-z-bl.flm            42.8        -10455.2            98.8           154.3           278.2           302.4
sn1998bw-19980701-z-bl.flm            49.8        -10838.8           263.3            48.5           778.4           734.1
sn1998bw-19980713-z-bl.flm            61.8        -11400.9           130.6           139.6           891.3           892.7
sn1998bw-19980722-z-bl.flm            70.8         -8385.2            57.3           101.7           927.9           931.7
