spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn1998bw-19980503-z.flm            -9.2        -15246.4          7490.2          1128.7
sn1998bw-19980504-z-bl.flm            -8.2        -13640.2          1040.6          1485.3
sn1998bw-19980507-z-bl.flm            -5.2        -14953.3          1435.1           623.5
sn1998bw-19980508-z-bl.flm            -4.2        -11215.7          2200.6           165.4
sn1998bw-19980509-z.flm            -3.2        -10764.4           780.4           789.0
sn1998bw-19980511-z.flm            -1.2         -9987.1           176.1           219.6
sn1998bw-19980513-z.flm             0.8         -4392.9           739.6          3488.2
sn1998bw-19980514-z.flm             1.8         -7702.8          4742.1           475.2
sn1998bw-19980516-z.flm             3.8         -5954.2          1981.4           656.1
sn1998bw-19980519-z.flm             6.8         -6726.5          1812.2           262.0
sn1998bw-19980521-z.flm             8.8        -10192.7          1849.5           178.2
sn1998bw-19980522-z-bl.flm             9.8         -3156.3           159.2           314.4
sn1998bw-19980523-z-bl.flm            10.8         -6780.3           166.7          2337.4
sn1998bw-19980529-z-bl.flm            16.8         -4992.7          1911.4           121.0
sn1998bw-19980601-z.flm            19.8         -4528.5           541.0          2882.8
