spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn1998bw-19980503-z.flm            -9.2        -17494.8          2253.1          2821.2          4072.3          4412.1
sn1998bw-19980504-z-bl.flm            -8.2        -19748.7           218.3           766.7          1713.6          1864.6
sn1998bw-19980507-z-bl.flm            -5.2        -16856.3           683.9           219.1          2571.9          2489.0
sn1998bw-19980508-z-bl.flm            -4.2        -15426.5           107.4           111.4          2705.2          2705.4
sn1998bw-19980509-z.flm            -3.2        -16459.0           582.9            81.9          2765.2          2704.3
sn1998bw-19980511-z.flm            -1.2        -13507.4            59.8           272.1          2695.5          2708.6
sn1998bw-19980513-z.flm             0.8        -15207.5          2873.3           477.8          3719.5          2409.8
sn1998bw-19980514-z.flm             1.8        -11844.0           141.3          2974.6          2909.9          4158.8
sn1998bw-19980516-z.flm             3.8        -13315.1          1213.3           142.8          3570.0          3360.5
sn1998bw-19980519-z.flm             6.8        -10322.8           537.9          3777.8          3710.7          5267.9
sn1998bw-19980521-z.flm             8.8        -10634.1           901.1           672.0          1472.3          1344.3
sn1998bw-19980522-z-bl.flm             9.8         -9872.4           133.7          1744.0          1742.4          2461.6
sn1998bw-19980523-z-bl.flm            10.8         -7211.5            70.4          4179.3          1738.7          4526.0
sn1998bw-19980529-z-bl.flm            16.8         -7372.7           248.4          4467.4          1975.2          4878.3
sn1998bw-19980601-z.flm            19.8         -5806.9           127.3          4089.4          2651.2          4872.0
