spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn2002ap_Ic-broad_-5.5_z.dat            -5.5         -2946.8           254.4           610.9
sn2002ap_Ic-broad_-4.5_z.dat            -4.5         -4632.0           223.0           177.6
sn2002ap-20020206-z.flm            -1.9         -3057.8            50.2          1019.7
sn2002ap-20020207-z.flm            -0.9         -1430.7          1215.7          1047.0
sn2002ap-20020208-z.flm             0.1         -3976.1            96.7            16.0
sn2002ap-20020209-z.flm             1.1         -3156.3           133.0           227.8
sn2002ap_Ic-broad_2.7_z.dat             2.7         -3964.4            73.5            85.1
sn2002ap-20020212-z.flm             4.1         -3394.1            95.4           608.4
sn2002ap-20020213-z.flm             5.1         -2093.8           138.3            88.2
sn2002ap-20020214-z.flm             6.1          -698.0           373.1           899.1
sn2002ap-20020215-z.flm             7.1         -1041.3           379.7           297.3
sn2002ap_Ic-broad_9.5_z.dat             9.5         -3115.1            92.8            95.1
sn2002ap-20020220-z.flm            12.1         -3514.3           128.8           104.7
sn2002ap-20020306-z.flm            26.1         -3579.4            79.4            68.3
sn2002ap-20020310-z.flm            30.1         -3920.9            62.0            85.5
sn2002ap-20020311-z.flm            31.1         -3678.8            97.5            88.4
