spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn2002ap_Ic-broad_-5.5_z.dat            -5.5        -15263.3           109.8           117.8          4551.2          4551.4
sn2002ap_Ic-broad_-4.5_z.dat            -4.5        -15285.6            85.1           111.9          4550.6          4551.2
sn2002ap-20020206-z.flm            -1.9        -14620.6            26.8           619.7          4701.9          4742.5
sn2002ap-20020207-z.flm            -0.9        -14146.1           292.3           441.5          4710.9          4722.5
sn2002ap-20020208-z.flm             0.1        -14001.3            93.9           380.6          3927.2          3944.5
sn2002ap-20020209-z.flm             1.1        -13069.4            60.7           132.2          3926.5          3928.3
sn2002ap_Ic-broad_2.7_z.dat             2.7        -11950.3            42.1           102.3          2804.9          2806.5
sn2002ap-20020212-z.flm             4.1        -11353.6            90.8           387.8          2187.4          2219.6
sn2002ap-20020213-z.flm             5.1        -10239.0            41.6           159.3          2185.9          2191.3
sn2002ap-20020214-z.flm             6.1         -9928.7            64.1            95.2          2042.9          2044.1
sn2002ap-20020215-z.flm             7.1         -9537.1           107.1           118.4          2044.7          2045.3
sn2002ap_Ic-broad_9.5_z.dat             9.5        -11071.4            89.9           101.8          2348.1          2348.6
sn2002ap-20020220-z.flm            12.1         -9913.3           216.2            79.1          2695.0          2687.5
sn2002ap-20020306-z.flm            26.1         -9677.8            81.8            58.9           860.5           858.6
sn2002ap-20020310-z.flm            30.1        -10404.4            63.9            62.7          1079.7          1079.6
sn2002ap-20020311-z.flm            31.1        -10540.9            62.5            87.3          1079.6          1081.3
