spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn2002ap_Ic-broad_-5.5_z.dat            -5.5        -12957.2          4559.8           539.2
sn2002ap_Ic-broad_-4.5_z.dat            -4.5        -11307.0         10781.0          2005.0
sn2002ap-20020206-z.flm            -1.9        -15444.3         11421.4           226.6
sn2002ap-20020207-z.flm            -0.9        -17831.3         13535.0          4984.2
sn2002ap-20020208-z.flm             0.1         -5732.3           278.8           124.5
sn2002ap-20020209-z.flm             1.1        -11220.7           352.4           572.2
sn2002ap_Ic-broad_2.7_z.dat             2.7         -1867.7          1718.6          2131.4
sn2002ap-20020212-z.flm             4.1         -5158.3          1120.8           223.5
sn2002ap-20020213-z.flm             5.1         -2843.6           713.2           832.6
sn2002ap-20020214-z.flm             6.1         -1414.1           307.0           593.1
sn2002ap-20020215-z.flm             7.1         -2538.6           122.7           896.0
sn2002ap_Ic-broad_9.5_z.dat             9.5         -3691.0           690.2          1604.4
sn2002ap-20020220-z.flm            12.1         -8219.9          6469.0           906.1
