spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn2002ap_Ic-broad_-5.5_z.dat            -5.5        -14277.0           178.8           701.5          2485.8          2576.6
sn2002ap_Ic-broad_-4.5_z.dat            -4.5        -14063.4          1429.3          1974.7          2861.8          3169.6
sn2002ap-20020206-z.flm            -1.9        -13104.9            51.5          2893.7          2695.4          3954.2
sn2002ap-20020207-z.flm            -0.9        -12323.3           783.3          4203.2          2806.4          4992.9
sn2002ap-20020208-z.flm             0.1         -9914.6           225.7           117.4          2372.7          2364.9
sn2002ap-20020209-z.flm             1.1        -11630.7           571.6           863.9          2430.2          2515.0
sn2002ap_Ic-broad_2.7_z.dat             2.7         -8233.4           383.6          3302.5          2931.7          4399.3
sn2002ap-20020212-z.flm             4.1         -5215.5            35.6          1258.4          3357.6          3585.5
sn2002ap-20020213-z.flm             5.1         -5782.1           497.0           881.9          3394.0          3471.3
sn2002ap-20020214-z.flm             6.1         -7987.2            49.0           187.5          3671.8          3676.2
sn2002ap-20020215-z.flm             7.1         -6436.9             2.7           804.4          3671.5          3758.5
sn2002ap_Ic-broad_9.5_z.dat             9.5         -4383.8             7.9          1204.8          1737.3          2114.1
sn2002ap-20020220-z.flm            12.1         -4630.9            16.1           660.2          1721.0          1843.2
