spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
Apr06.dat            -9.8         -6283.7          5987.8           240.9
Apr07.dat            -9.0         -2957.6           124.0           612.2
Apr08.dat            -8.1         -4563.5          4552.0          1922.2
Apr09.dat            -7.3          -776.7           429.3           442.5
Apr10.dat            -6.4         -4108.8           326.4           286.0
Apr24.dat             5.6         -4813.1            38.6            84.5
May02.dat            12.4         -1986.3            90.6          1615.5
May04.dat            14.1         -1964.8           321.1          1353.1
May0809.dat            17.5         -3839.3           797.1           137.4
May24.dat            30.4         -2128.6           231.4           400.1
Jun22.dat            56.1         -3620.2           136.4           142.4
