spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
Apr06.dat            -9.8        -30566.9         18468.3           242.4         19087.0          4826.2
Apr07.dat            -9.0        -28263.0            56.8            92.1          4820.4          4821.0
Apr08.dat            -8.1        -27946.3           881.9           220.4          4031.8          3940.3
Apr09.dat            -7.3        -24311.9           128.0           106.3          3936.2          3935.6
Apr10.dat            -6.4        -21792.7           146.1            88.5          4552.2          4550.7
Apr24.dat             5.6        -15998.0            34.1           268.5          2042.2          2059.5
May02.dat            12.4        -10829.9            62.4           745.2          2687.0          2787.8
May04.dat            14.1        -10678.2          3145.2           536.2          4092.1          2672.2
May0809.dat            17.5         -7068.2             5.0           612.2          1442.5          1567.1
May24.dat            30.4         -7687.6           197.2            46.0          1095.6          1078.7
Jun22.dat            56.1         -8464.8           105.3           132.0          1069.1          1072.0
