spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn2003jd-20031028-z-bl.flm            -3.6         -4032.3           317.6           281.0
sn2003jd-20031029-z-bl.flm            -2.6         -2079.5           378.6           332.1
sn2003jd-20031030-z-bl.flm            -1.6         -5024.8           276.6           226.9
sn2003jd-20031031-z-bl.flm            -0.6         -3465.3           240.3           243.2
sn2003jd-20031101-z-bl.flm             0.4         -4595.3           230.2           154.1
sn2003jd-20031119-z-bl.flm            18.4         -1262.3           481.8           404.2
sn2003jd-20031120-z-bl.flm            19.4         -1670.9           786.8           353.1
sn2003jd-20031121-z-bl.flm            20.4         -2049.4           175.0           181.5
sn2003jd-20031122-z-bl.flm            21.4         -1754.3           252.3           250.4
sn2003jd-20031123-z-bl.flm            22.4         -2038.3           940.2           799.7
sn2003jd-20031124-z-bl.flm            23.4         -2728.8           578.7          4776.7
sn2003jd-20031127-z-bl.flm            26.4         -2439.4          1290.4          6356.4
sn2003jd-20031128-z-bl.flm            27.4         -1017.7           607.4           829.9
sn2003jd-20031204-z-bl.flm            33.4         -2390.5           301.1           402.7
sn2003jd-20031217-z-bl.flm            46.4         -2132.3          1330.6          1374.3
sn2003jd-20031218-z-bl.flm            47.4         -5289.6           834.1           608.0
sn2003jd-20031219-mmt-z-bl.flm            48.4         -2920.7          1171.8           221.1
sn2003jd-20031220-mmt-z-bl.flm            49.4         -3222.5            96.4           124.7
sn2003jd-20031220-z-bl.flm            49.4         -3408.8           402.6           459.7
sn2003jd-20031222-z-bl.flm            51.4         -3031.5           400.4           431.8
sn2003jd-20031225-z-bl.flm            54.4         -2458.2           377.4           430.3
sn2003jd-20031226-z-bl.flm            55.4         -3384.6           687.2           693.5
sn2003jd-20031231-z-bl.flm            60.4         -1160.3           857.6          2159.1
sn2003jd-20040113-z-bl.flm            73.4         -2997.1           625.4           636.3
