spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn2003jd-20031028-z-bl.flm            -3.6        -17230.1           105.5           254.7          4818.9          4824.4
sn2003jd-20031029-z-bl.flm            -2.6        -17156.0            92.2           314.2          4818.6          4828.0
sn2003jd-20031030-z-bl.flm            -1.6        -18106.4           104.5           251.9          4703.0          4708.5
sn2003jd-20031031-z-bl.flm            -0.6        -17054.6            99.7           135.3          4702.8          4703.7
sn2003jd-20031101-z-bl.flm             0.4        -15998.3           102.4           326.3          3927.4          3939.6
sn2003jd-20031119-z-bl.flm            18.4        -12344.1           231.6           282.9          1461.0          1470.0
sn2003jd-20031120-z-bl.flm            19.4        -13657.6           312.4           160.6          1476.0          1451.4
sn2003jd-20031121-z-bl.flm            20.4        -11160.7           207.5           216.9          1303.9          1305.5
sn2003jd-20031122-z-bl.flm            21.4        -11942.1           245.5           179.8          1310.5          1299.8
sn2003jd-20031123-z-bl.flm            22.4        -13132.4           577.3           568.4          1420.1          1416.5
sn2003jd-20031124-z-bl.flm            23.4        -12214.1           471.7          7027.3          1380.5          7146.1
sn2003jd-20031127-z-bl.flm            26.4        -14111.3           581.0         12728.8          1035.0         12757.5
sn2003jd-20031128-z-bl.flm            27.4        -11997.1           349.1           478.2           925.0           981.0
sn2003jd-20031204-z-bl.flm            33.4        -10820.5          1303.9           381.1          1794.6          1290.7
sn2003jd-20031217-z-bl.flm            46.4        -11684.9           665.8           694.4          1047.0          1065.5
sn2003jd-20031218-z-bl.flm            47.4        -11574.6           617.7           636.7          1017.1          1028.8
sn2003jd-20031219-mmt-z-bl.flm            48.4         -9846.1           343.0          1490.0           869.5          1690.7
sn2003jd-20031220-mmt-z-bl.flm            49.4        -10224.7           106.7           233.1           806.1           832.4
sn2003jd-20031220-z-bl.flm            49.4         -9337.2           282.2           369.0           847.4           880.1
sn2003jd-20031222-z-bl.flm            51.4        -10415.0           401.3           425.0           835.2           846.9
sn2003jd-20031225-z-bl.flm            54.4         -8806.0           418.7           399.0           917.1           908.3
sn2003jd-20031226-z-bl.flm            55.4         -9088.4           960.2           858.9          1260.1          1184.7
sn2003jd-20031231-z-bl.flm            60.4        -12213.6           916.5           736.0          1271.7          1148.5
sn2003jd-20040113-z-bl.flm            73.4         -8123.2           445.2          1036.1          1111.7          1453.0
