spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn2003jd-20031028-z-bl.flm            -3.6         -3259.7           735.9          1779.9
sn2003jd-20031029-z-bl.flm            -2.6         -3986.2           798.7          4124.6
sn2003jd-20031030-z-bl.flm            -1.6         -2329.4           393.5           412.2
sn2003jd-20031031-z-bl.flm            -0.6         -2288.2           350.6          1711.9
sn2003jd-20031101-z-bl.flm             0.4         -2215.0           842.0           544.7
sn2003jd-20031119-z-bl.flm            18.4         -7181.0          3600.2           429.8
sn2003jd-20031120-z-bl.flm            19.4         -7376.3           304.1           168.3
sn2003jd-20031121-z-bl.flm            20.4         -9602.3           539.7           419.2
sn2003jd-20031122-z-bl.flm            21.4         -9167.9           401.3           405.5
sn2003jd-20031123-z-bl.flm            22.4         -8566.7           487.1         11449.0
sn2003jd-20031124-z-bl.flm            23.4         -8484.8           231.0          9721.6
