spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn2003jd-20031028-z-bl.flm            -3.6        -13437.1           477.1          3048.3          2744.9          4074.2
sn2003jd-20031029-z-bl.flm            -2.6        -14717.0          2505.6          1519.1          3685.7          3100.7
sn2003jd-20031030-z-bl.flm            -1.6        -12171.8           193.9          1362.0          2701.8          3019.5
sn2003jd-20031031-z-bl.flm            -0.6        -11853.7           178.0          2322.9          2700.7          3557.8
sn2003jd-20031101-z-bl.flm             0.4        -12030.3           226.6          1773.6          2372.8          2953.7
sn2003jd-20031119-z-bl.flm            18.4         -6166.4          1139.3          4691.4          2389.0          5139.9
sn2003jd-20031120-z-bl.flm            19.4         -5324.6           230.1          1477.1          2112.4          2567.4
sn2003jd-20031121-z-bl.flm            20.4         -4134.7            19.1          1517.5          2648.2          3052.2
sn2003jd-20031122-z-bl.flm            21.4         -4133.0            18.6          1505.2          2648.2          3046.1
sn2003jd-20031123-z-bl.flm            22.4         -2656.2           281.5          4360.7          2802.6          5176.0
sn2003jd-20031124-z-bl.flm            23.4         -2415.0            52.1          6473.7          2788.9          7048.7
