spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
vlt_2006_02_21_z0-z-bl.flm            -7.0         -3060.8          1108.8           801.5
sn2006aj-20060222-z-bl.flm            -6.2         -2540.3          1556.7          1502.8
lick_2006_02_22_z0-z-bl.flm            -6.0         -6051.2           870.1          1914.3
sn2006aj-20060223-mmt-z-bl.flm            -5.2         -4885.7           476.5           581.1
vlt_2006_02_23_z0-z-bl.flm            -5.0         -4464.6           262.9           229.1
sn2006aj-20060224-z-bl.flm            -4.2         -6263.2          1618.4         13342.7
sn2006aj-20060225-z-bl.flm            -3.2         -4053.3           615.4           527.6
vlt_2006_02_25_z0-z-bl.flm            -3.0         -4350.2           322.1           193.2
sn2006aj-20060226-mmt-z-bl.flm            -2.2         -3898.5           320.8           327.6
vlt_2006_02_26_z0-z-bl.flm            -2.0         -4328.6           288.1           150.0
sn2006aj-20060227-z-bl.flm            -1.2         -4060.4           461.5           809.5
vlt_2006_02_27_z0-z-bl.flm            -1.0         -4303.0           729.6           220.5
sn2006aj-20060228-z-bl.flm            -0.2         -3300.8           675.1           778.6
vlt_2006_02_28_z0-z-bl.flm             0.0         -3780.5           290.2           212.0
vlt_2006_03_01_z0-z-bl.flm             1.0         -4721.9           430.0            91.6
sn2006aj-20060302-mmt-z-bl.flm             1.8         -4300.0           217.6          2390.9
vlt_2006_03_02_z0-z-bl.flm             2.0         -4350.6           166.1           116.2
sn2006aj-20060303-mmt-z-bl.flm             2.8         -4424.2           141.5           123.9
vlt_2006_03_03_z0-z-bl.flm             3.0         -3763.1           127.8           964.5
vlt_2006_03_04_z0-z-bl.flm             4.0         -2654.1           716.1          1087.7
vlt_2006_03_05_z0-z-bl.flm             5.0         -2695.7           221.7           177.1
vlt_2006_03_06_z0-z-bl.flm             6.0         -1636.3           246.1           314.7
vlt_2006_03_08_z0-z-bl.flm             8.0         -2740.7          2662.7           270.4
vlt_2006_03_09_z0-z-bl.flm             9.0         -2655.3           301.2           152.6
vlt_2006_03_10_z0-z-bl.flm            10.0         -2512.9          2482.7           286.2
