spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
vlt_2006_02_21_z0-z-bl.flm            -7.0        -19716.8           140.9           759.1          3936.7          4006.7
sn2006aj-20060222-z-bl.flm            -6.2        -20947.5           837.6           908.7          4626.3          4639.7
lick_2006_02_22_z0-z-bl.flm            -6.0        -22797.0           902.3           429.7          4638.4          4570.1
sn2006aj-20060223-mmt-z-bl.flm            -5.2        -21012.0           303.9           150.6          4560.0          4552.3
vlt_2006_02_23_z0-z-bl.flm            -5.0        -20840.9           112.9            90.8          4551.3          4550.8
sn2006aj-20060224-z-bl.flm            -4.2        -23533.8           994.6          1761.1          4919.3          5129.5
sn2006aj-20060225-z-bl.flm            -3.2        -23790.2           316.1           259.9          4828.1          4824.7
vlt_2006_02_25_z0-z-bl.flm            -3.0        -23348.2           228.0           106.5          4823.1          4818.9
sn2006aj-20060226-mmt-z-bl.flm            -2.2        -23023.2           180.8           169.3          4705.3          4704.8
vlt_2006_02_26_z0-z-bl.flm            -2.0        -23334.4           201.7           112.3          4706.1          4703.1
sn2006aj-20060227-z-bl.flm            -1.2        -21136.2          1341.7           458.8          4889.5          4724.1
vlt_2006_02_27_z0-z-bl.flm            -1.0        -21489.5           361.7            91.7          4715.7          4702.7
sn2006aj-20060228-z-bl.flm            -0.2        -23465.4           677.1           294.6          3984.0          3937.1
vlt_2006_02_28_z0-z-bl.flm             0.0        -21029.7           185.0           120.1          3930.4          3927.9
vlt_2006_03_01_z0-z-bl.flm             1.0        -18506.2            91.6           398.3          3927.1          3946.2
sn2006aj-20060302-mmt-z-bl.flm             1.8        -19770.8          7043.5           136.3          7581.3          2807.9
vlt_2006_03_02_z0-z-bl.flm             2.0        -21515.9           181.5            95.2          2810.5          2806.2
sn2006aj-20060303-mmt-z-bl.flm             2.8        -19819.1           128.1            99.1          2807.5          2806.4
vlt_2006_03_03_z0-z-bl.flm             3.0        -21190.8           413.5           100.5          2834.9          2806.4
vlt_2006_03_04_z0-z-bl.flm             4.0        -20125.6           381.1           724.6          2218.4          2302.5
vlt_2006_03_05_z0-z-bl.flm             5.0        -18445.9           187.3           345.3          2193.5          2212.6
vlt_2006_03_06_z0-z-bl.flm             6.0        -19615.0           298.6           162.1          2063.6          2048.3
vlt_2006_03_08_z0-z-bl.flm             8.0        -20113.8           221.9           837.2          1158.1          1411.6
vlt_2006_03_09_z0-z-bl.flm             9.0        -19712.4           163.0           233.0          1148.2          1160.2
vlt_2006_03_10_z0-z-bl.flm            10.0        -17578.5           180.7           240.1          2353.4          2358.7
