spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
vlt_2006_02_21_z0-z-bl.flm            -7.0         -3053.8           375.2           454.9
sn2006aj-20060222-z-bl.flm            -6.2         -3490.5          1465.2           857.2
lick_2006_02_22_z0-z-bl.flm            -6.0         -1486.2           506.5           963.8
sn2006aj-20060223-mmt-z-bl.flm            -5.2         -2397.0           953.3          1076.7
vlt_2006_02_23_z0-z-bl.flm            -5.0         -2822.2          2078.3          1928.2
sn2006aj-20060224-z-bl.flm            -4.2         -1178.0           863.8          2843.6
sn2006aj-20060225-z-bl.flm            -3.2         -4424.5          1794.5          1396.6
vlt_2006_02_25_z0-z-bl.flm            -3.0        -15430.8           909.8          1415.5
sn2006aj-20060226-mmt-z-bl.flm            -2.2         -6658.4          1732.9          1960.5
vlt_2006_02_26_z0-z-bl.flm            -2.0        -14887.0          7237.1           798.1
sn2006aj-20060227-z-bl.flm            -1.2        -11703.7          7714.8          2622.4
vlt_2006_02_27_z0-z-bl.flm            -1.0         -7389.1          3387.8           715.6
sn2006aj-20060228-z-bl.flm            -0.2         -2857.3          2520.3          1720.2
vlt_2006_02_28_z0-z-bl.flm             0.0          -936.5           608.6          2520.3
vlt_2006_03_01_z0-z-bl.flm             1.0         -6731.3           588.6          3321.1
sn2006aj-20060302-mmt-z-bl.flm             1.8        -15547.2         13512.6           383.1
vlt_2006_03_02_z0-z-bl.flm             2.0        -16713.3           325.4           240.8
sn2006aj-20060303-mmt-z-bl.flm             2.8        -11176.4          3951.6          4269.3
vlt_2006_03_03_z0-z-bl.flm             3.0        -17945.4          6882.9           276.9
vlt_2006_03_04_z0-z-bl.flm             4.0         -8463.6          4446.9          1130.2
vlt_2006_03_05_z0-z-bl.flm             5.0        -11253.7           722.6          6411.7
vlt_2006_03_06_z0-z-bl.flm             6.0        -10258.6           366.6          3863.0
vlt_2006_03_08_z0-z-bl.flm             8.0         -9856.9          1263.9           391.5
vlt_2006_03_09_z0-z-bl.flm             9.0        -11770.1          1236.8           949.4
vlt_2006_03_10_z0-z-bl.flm            10.0         -5535.1          1408.7          4680.5
