spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
vlt_2006_02_21_z0-z-bl.flm            -7.0        -17126.3           165.5           199.1          1707.7          1711.3
sn2006aj-20060222-z-bl.flm            -6.2        -19375.8          1653.0          1370.2          2979.8          2832.8
lick_2006_02_22_z0-z-bl.flm            -6.0        -15432.5           273.3           445.5          2494.3          2519.0
sn2006aj-20060223-mmt-z-bl.flm            -5.2        -16519.9           403.0           442.0          2511.9          2518.4
vlt_2006_02_23_z0-z-bl.flm            -5.0        -17327.8          2114.2          1292.6          3258.3          2796.0
sn2006aj-20060224-z-bl.flm            -4.2        -15444.3           912.8           872.6          2853.1          2840.4
sn2006aj-20060225-z-bl.flm            -3.2        -14963.2           652.4          1283.0          2780.7          2992.1
vlt_2006_02_25_z0-z-bl.flm            -3.0        -11609.4           304.2          2011.1          2720.2          3369.2
sn2006aj-20060226-mmt-z-bl.flm            -2.2        -14153.5           706.0           604.7          2785.8          2761.9
vlt_2006_02_26_z0-z-bl.flm            -2.0        -12769.9           365.0          2943.8          2719.5          3991.0
sn2006aj-20060227-z-bl.flm            -1.2        -12234.3          1197.1          4498.4          2948.8          5243.9
vlt_2006_02_27_z0-z-bl.flm            -1.0        -13960.7           243.3          2582.2          2705.8          3732.3
sn2006aj-20060228-z-bl.flm            -0.2        -16518.0           462.2          1116.6          2406.8          2612.6
vlt_2006_02_28_z0-z-bl.flm             0.0        -17572.8           773.9           182.5          2485.5          2369.0
vlt_2006_03_01_z0-z-bl.flm             1.0        -13224.6           278.3          2064.5          2378.3          3137.1
sn2006aj-20060302-mmt-z-bl.flm             1.8        -10844.7          2459.4           208.6          3807.4          2913.9
vlt_2006_03_02_z0-z-bl.flm             2.0        -10382.1           127.8           458.5          2909.3          2942.4
sn2006aj-20060303-mmt-z-bl.flm             2.8        -10519.3           152.9          2641.4          2910.5          3927.4
vlt_2006_03_03_z0-z-bl.flm             3.0         -9851.3           136.2           701.0          2909.6          2989.8
vlt_2006_03_04_z0-z-bl.flm             4.0         -8296.6           336.7          4443.9          3374.3          5569.6
vlt_2006_03_05_z0-z-bl.flm             5.0         -7517.1           181.4           432.2          3362.3          3385.1
vlt_2006_03_06_z0-z-bl.flm             6.0         -9022.1           145.5          1441.9          3674.3          3944.4
vlt_2006_03_08_z0-z-bl.flm             8.0        -13541.9          4521.0          1660.2          4668.6          2027.8
vlt_2006_03_09_z0-z-bl.flm             9.0         -6014.4           176.3          1031.8          1177.6          1555.7
vlt_2006_03_10_z0-z-bl.flm            10.0        -11547.6          2190.4           394.3          2795.7          1781.5
