spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
SN09bb_b01_DUP_WF_28mar09-bl-z.flm            -5.3         -5481.1           437.1           274.3
SN09bb_b01_DUP_WF_29mar09-bl-z.flm            -4.4         -5498.0           311.9          1082.4
SN09bb_b01_DUP_WF_03apr09-bl-z.flm             0.6         -4627.7           547.0           188.0
SN09bb_BAA_IM_07apr09-bl-z.flm             4.5         -4155.8           221.7           220.5
SN09bb_b01_CLA_LD_17apr09-bl-z.flm            14.6         -5117.5           191.6           135.6
SN09bb_b01_DUP_BC_18apr09-bl-z.flm            15.6         -3078.9           475.5           570.1
SN09bb_b01_DUP_BC_22apr09-bl-z.flm            19.6         -2817.6          1877.9          1029.3
SN09bb_b01_DUP_BC_23apr09-bl-z.flm            20.6         -8745.0           441.8           858.7
SN09bb_r01_GEM_GMOS_26apr-bl-z.flm            23.6         -3718.0           440.2           282.0
SN09bb_b01_CLA_LD_30apr09-bl-z.flm            27.6         -4375.6           252.2           193.5
SN09bb_b01_BAA_IM_14may09-bl-z.flm            41.5         -4159.2           177.2           273.9
