spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
Bufano/SN2010bh_0318_rb10_Ag0_z0_Ai0-bl.flm            -4.4         -6998.4           469.5           492.0
Bufano/SN2010bh_0319_rb10_Ag0_z0_Ai0-bl.flm            -3.5         -6390.3           568.6           438.9
Bufano/SN2010bh_0320_rb10_Ag0_z0_Ai0-bl.flm            -2.5         -7962.1          1027.8           457.0
grb100316D-20100322-mage-trim-blo2-bin-z-bl.flm            -0.7         -6777.8          1412.8          1382.2
Bufano/SN2010bh_0323_rb10_Ag0_z0_Ai0-bl.flm             0.3         -3987.1            40.9            45.3
grb100316D-20100324-combnosc-mage-trim-blo-bin-z-bl.flm             1.2         -3996.7            44.0            50.8
Bufano/SN2010bh_0324_rb10_Ag0_z0_Ai0-bl.flm             1.2         -3997.2            42.7            42.3
Bufano/SN2010bh_0325_rb10_Ag0_z0_Ai0-bl.flm             2.2         -5759.0           375.5           293.6
Bufano/SN2010bh_0327_rb10_Ag0_z0_Ai0-bl.flm             4.1         -6064.3          1182.3           832.1
Bufano/SN2010bh_0329_rb10_Ag0_z0_Ai0-bl.flm             5.9         -1085.8           753.2          5188.1
Bufano/SN2010bh_0331_rb10_Ag0_z0_Ai0-bl.flm             7.8         -4795.9           263.7           160.3
Bufano/SN2010bh_0402_Ag0_z0_Ai0-bl.flm             9.7         -4465.5           274.0           342.5
Bufano/SN2010bh_0404_Ag0_z0_Ai0-bl.flm            11.6         -9910.5          5362.9         12756.6
Bufano/SN2010bh_0407_Ag0_z0_Ai0-bl.flm            14.4         -4715.1           173.8           198.8
grb100316d-20100408-gmos-comb-bin1-newblo-bin-bl-z.flm            15.4         -2527.3          2332.3          4589.9
Bufano/SN2010bh_0410_rb10_Ag0_z0_Ai0-bl.flm            17.3         -5100.4           440.2           405.4
Bufano/SN2010bh_0417_rb10_Ag0_z0_Ai0-bl.flm            23.9        -23757.3         14695.6         10806.6
Bufano/SN2010bh_0423_Ag0_z0_Ai0-bl.flm            29.5        -75576.5         61969.0      24219906.0
Bufano/SN2010bh_0427_Ag0_z0_Ai0-bl.flm            33.3        -42112.4         36830.6      14966884.0
