spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
Bufano/SN2010bh_0318_rb10_Ag0_z0_Ai0-bl.flm            -4.4        -48726.9           436.2           438.7          4837.4          4837.7
Bufano/SN2010bh_0319_rb10_Ag0_z0_Ai0-bl.flm            -3.5        -45152.0           688.4           499.5          4866.7          4843.5
Bufano/SN2010bh_0320_rb10_Ag0_z0_Ai0-bl.flm            -2.5        -43544.2           206.8           402.8          4822.2          4834.5
grb100316D-20100322-mage-trim-blo2-bin-z-bl.flm            -0.7        -44043.1           810.3          1126.2          4771.1          4834.8
Bufano/SN2010bh_0323_rb10_Ag0_z0_Ai0-bl.flm             0.3        -46890.9           394.7           672.0          3945.8          3983.2
grb100316D-20100324-combnosc-mage-trim-blo-bin-z-bl.flm             1.2        -46905.3           567.2           277.0          3966.8          3935.8
Bufano/SN2010bh_0324_rb10_Ag0_z0_Ai0-bl.flm             1.2        -46544.8           532.2           728.8          3962.0          3993.1
Bufano/SN2010bh_0325_rb10_Ag0_z0_Ai0-bl.flm             2.2        -37512.9           244.6           243.6          2815.3          2815.2
Bufano/SN2010bh_0327_rb10_Ag0_z0_Ai0-bl.flm             4.1        -36640.1           617.6           862.4          2271.1          2349.5
Bufano/SN2010bh_0329_rb10_Ag0_z0_Ai0-bl.flm             5.9        -37005.2          2222.1           545.6          3017.8          2113.5
Bufano/SN2010bh_0331_rb10_Ag0_z0_Ai0-bl.flm             7.8        -36453.8           175.4           208.2          1150.1          1155.5
Bufano/SN2010bh_0402_Ag0_z0_Ai0-bl.flm             9.7        -30241.9           237.0           312.8          2358.3          2367.2
Bufano/SN2010bh_0404_Ag0_z0_Ai0-bl.flm            11.6        -37104.8          4574.9          8427.1          5305.2          8844.9
Bufano/SN2010bh_0407_Ag0_z0_Ai0-bl.flm            14.4        -25245.9           163.4           404.1          2623.0          2648.9
grb100316d-20100408-gmos-comb-bin1-newblo-bin-bl-z.flm            15.4        -45465.2         22824.1          1662.7         22973.7          3101.3
Bufano/SN2010bh_0410_rb10_Ag0_z0_Ai0-bl.flm            17.3        -25478.8           431.8           433.0          1640.6          1640.9
Bufano/SN2010bh_0417_rb10_Ag0_z0_Ai0-bl.flm            23.9        -39835.8         18554.1          5707.0         18589.3          5820.4
Bufano/SN2010bh_0423_Ag0_z0_Ai0-bl.flm            29.5        -33949.7          5540.9         10600.5          5644.7         10655.1
Bufano/SN2010bh_0427_Ag0_z0_Ai0-bl.flm            33.3        -26080.4          4856.3          8044.3          5010.4          8138.2
