spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
Bufano/SN2010bh_0318_rb10_Ag0_z0_Ai0-bl.flm            -4.4        -23817.1         19112.6          7640.2
Bufano/SN2010bh_0319_rb10_Ag0_z0_Ai0-bl.flm            -3.5        -19838.0         19083.9          6488.2
Bufano/SN2010bh_0320_rb10_Ag0_z0_Ai0-bl.flm            -2.5        -22711.9          4587.9          3843.0
grb100316D-20100322-mage-trim-blo2-bin-z-bl.flm            -0.7         -2503.9          1695.4          1613.6
Bufano/SN2010bh_0323_rb10_Ag0_z0_Ai0-bl.flm             0.3          -718.4           518.5          1112.3
grb100316D-20100324-combnosc-mage-trim-blo-bin-z-bl.flm             1.2         -4094.8          1583.7          1559.8
Bufano/SN2010bh_0324_rb10_Ag0_z0_Ai0-bl.flm             1.2         -1290.1           866.7           803.7
Bufano/SN2010bh_0325_rb10_Ag0_z0_Ai0-bl.flm             2.2         -5960.5           525.9           684.4
Bufano/SN2010bh_0327_rb10_Ag0_z0_Ai0-bl.flm             4.1          -528.3           378.3           989.5
Bufano/SN2010bh_0329_rb10_Ag0_z0_Ai0-bl.flm             5.9         -9048.3          4456.3          5065.4
Bufano/SN2010bh_0331_rb10_Ag0_z0_Ai0-bl.flm             7.8         -5050.5           327.2           335.2
Bufano/SN2010bh_0402_Ag0_z0_Ai0-bl.flm             9.7         -5272.0           692.6          1956.2
Bufano/SN2010bh_0404_Ag0_z0_Ai0-bl.flm            11.6        -11201.2          8582.7         16274.4
Bufano/SN2010bh_0407_Ag0_z0_Ai0-bl.flm            14.4         -4940.5           940.5          1925.1
grb100316d-20100408-gmos-comb-bin1-newblo-bin-bl-z.flm            15.4        -56497.1         41448.7       2068249.9
Bufano/SN2010bh_0410_rb10_Ag0_z0_Ai0-bl.flm            17.3         -5506.8           422.6           702.8
Bufano/SN2010bh_0417_rb10_Ag0_z0_Ai0-bl.flm            23.9        -16364.8          5166.0          1343.4
