spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
Bufano/SN2010bh_0318_rb10_Ag0_z0_Ai0-bl.flm            -4.4        -33934.9          2354.5         12101.2          3584.7         12399.4
Bufano/SN2010bh_0319_rb10_Ag0_z0_Ai0-bl.flm            -3.5        -32542.3          1906.9          9479.2          3308.0          9857.1
Bufano/SN2010bh_0320_rb10_Ag0_z0_Ai0-bl.flm            -2.5        -40992.4         13579.7          4661.2         13846.2          5388.3
grb100316D-20100322-mage-trim-blo2-bin-z-bl.flm            -0.7        -37248.3          1705.5          1135.7          3189.2          2924.4
Bufano/SN2010bh_0323_rb10_Ag0_z0_Ai0-bl.flm             0.3        -35089.9           480.6           677.2          2410.4          2457.1
grb100316D-20100324-combnosc-mage-trim-blo-bin-z-bl.flm             1.2        -38121.3          2857.5           770.1          3707.3          2484.4
Bufano/SN2010bh_0324_rb10_Ag0_z0_Ai0-bl.flm             1.2        -37779.8          1465.3           450.2          2779.6          2404.5
Bufano/SN2010bh_0325_rb10_Ag0_z0_Ai0-bl.flm             2.2        -36684.7          1077.0           400.1          3099.6          2933.9
Bufano/SN2010bh_0327_rb10_Ag0_z0_Ai0-bl.flm             4.1        -32914.4           816.9           305.3          3455.4          3371.3
Bufano/SN2010bh_0329_rb10_Ag0_z0_Ai0-bl.flm             5.9        -30709.4           229.2          3017.6          3678.6          4752.4
Bufano/SN2010bh_0331_rb10_Ag0_z0_Ai0-bl.flm             7.8        -30835.1           535.7           284.8          1281.6          1198.7
Bufano/SN2010bh_0402_Ag0_z0_Ai0-bl.flm             9.7        -25944.4           749.2          5105.2          1891.9          5392.7
Bufano/SN2010bh_0404_Ag0_z0_Ai0-bl.flm            11.6        -32398.0          2754.8          8387.9          3248.1          8562.6
Bufano/SN2010bh_0407_Ag0_z0_Ai0-bl.flm            14.4        -19783.4           329.2          8658.0          1837.6          8844.7
grb100316d-20100408-gmos-comb-bin1-newblo-bin-bl-z.flm            15.4        -22012.2          1532.4          4299.6          2369.9          4664.3
Bufano/SN2010bh_0410_rb10_Ag0_z0_Ai0-bl.flm            17.3        -19061.8           198.2         10001.1          1969.5         10191.2
Bufano/SN2010bh_0417_rb10_Ag0_z0_Ai0-bl.flm            23.9        -12712.3           393.5         13051.2          2478.2         13278.5
